Quiz Score,Coding Score,Problems Solved,Technical Query Rating,Project Experience,Study Consistency,Learning Behaviour,Skill Level
85,6,187,7,Advanced,partially-consistent,Active-learner,Advanced
35,5,18,4,Beginner,partially-consistent,Struggling,Intermediate
95,8,415,9,Expert,partially-consistent,Active-learner,Expert
14,1,3,1,Vibe-Coder,Highly-consistent,Struggling,Beginner
14,0,2,0,Beginner,Inconsistent,Passive-learner,Beginner
67,6,151,7,Intermediate,partially-consistent,Active-learner,Advanced
36,1,8,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
88,6,108,7,Vibe-Coder,partially-consistent,High-potential,Advanced
75,6,33,7,Intermediate,Highly-consistent,High-potential,Advanced
4,1,0,1,Beginner,partially-consistent,Passive-learner,Beginner
14,1,2,0,None,Inconsistent,Active-learner,Beginner
2,0,1,1,None,partially-consistent,Active-learner,Beginner
19,1,6,3,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
88,9,349,8,Vibe-Coder,Highly-consistent,Active-learner,Expert
5,1,0,0,None,Highly-consistent,Passive-learner,Beginner
11,0,3,1,Beginner,Inconsistent,Passive-learner,Beginner
5,0,0,0,Vibe-Coder,Inconsistent,Passive-learner,Beginner
6,1,2,1,Vibe-Coder,partially-consistent,Passive-learner,Beginner
35,5,24,4,Beginner,Highly-consistent,Struggling,Intermediate
8,0,4,0,None,partially-consistent,Struggling,Beginner
12,1,2,0,Vibe-Coder,partially-consistent,Active-learner,Beginner
89,7,186,7,Intermediate,partially-consistent,High-potential,Advanced
51,5,16,4,Intermediate,partially-consistent,Passive-learner,Intermediate
63,6,66,7,Vibe-Coder,Inconsistent,Active-learner,Advanced
86,9,242,8,Vibe-Coder,Highly-consistent,Active-learner,Expert
1,1,3,1,None,Inconsistent,Active-learner,Beginner
26,1,3,2,Vibe-Coder,Inconsistent,Struggling,Advanced Beginner
86,8,488,9,Advanced,Highly-consistent,Active-learner,Expert
9,0,2,0,None,partially-consistent,Active-learner,Beginner
9,0,4,1,None,Inconsistent,Active-learner,Beginner
7,0,3,0,Beginner,Inconsistent,Active-learner,Beginner
19,1,3,1,None,Highly-consistent,Struggling,Beginner
7,1,1,0,Beginner,Highly-consistent,Struggling,Beginner
61,7,108,7,Vibe-Coder,Highly-consistent,Active-learner,Advanced
12,1,4,1,Beginner,partially-consistent,Passive-learner,Beginner
83,7,123,6,Intermediate,partially-consistent,High-potential,Advanced
33,1,4,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
10,1,3,0,None,Highly-consistent,Struggling,Beginner
44,4,27,5,Beginner,partially-consistent,Passive-learner,Intermediate
97,8,476,9,Advanced,Highly-consistent,High-potential,Expert
45,5,13,4,Beginner,partially-consistent,Struggling,Intermediate
23,1,8,2,Beginner,Highly-consistent,Passive-learner,Advanced Beginner
35,1,4,3,Beginner,partially-consistent,Struggling,Advanced Beginner
16,1,8,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
88,9,239,8,Advanced,partially-consistent,High-potential,Expert
63,4,18,4,Intermediate,Inconsistent,Struggling,Intermediate
16,1,7,2,Beginner,Inconsistent,Active-learner,Advanced Beginner
61,5,37,4,Vibe-Coder,Inconsistent,Active-learner,Intermediate
70,7,40,6,Intermediate,partially-consistent,Active-learner,Advanced
92,8,199,9,Advanced,Inconsistent,Active-learner,Expert
46,4,19,4,Vibe-Coder,partially-consistent,Active-learner,Intermediate
4,0,0,0,Beginner,Inconsistent,Passive-learner,Beginner
82,6,187,6,Intermediate,partially-consistent,High-potential,Advanced
30,1,4,3,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
16,1,2,1,None,Inconsistent,Active-learner,Beginner
86,9,229,9,Expert,Highly-consistent,Active-learner,Expert
11,0,0,1,None,Inconsistent,Active-learner,Beginner
35,1,7,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
91,8,404,9,Advanced,partially-consistent,Active-learner,Expert
86,9,210,9,Advanced,partially-consistent,Active-learner,Expert
9,0,2,1,None,partially-consistent,Passive-learner,Beginner
83,7,128,6,Intermediate,partially-consistent,High-potential,Advanced
38,5,34,5,Beginner,partially-consistent,Passive-learner,Intermediate
9,0,3,1,Beginner,Inconsistent,Passive-learner,Beginner
3,1,1,0,Vibe-Coder,Inconsistent,Passive-learner,Beginner
9,0,2,1,Beginner,partially-consistent,Passive-learner,Beginner
53,4,34,4,Beginner,partially-consistent,High-potential,Intermediate
65,7,51,7,Advanced,Highly-consistent,Active-learner,Advanced
62,7,123,7,Vibe-Coder,partially-consistent,Active-learner,Advanced
46,4,9,5,Vibe-Coder,partially-consistent,High-potential,Intermediate
89,8,431,9,Expert,partially-consistent,Active-learner,Expert
63,4,39,4,Beginner,partially-consistent,Struggling,Intermediate
26,1,9,3,Vibe-Coder,Inconsistent,Active-learner,Advanced Beginner
32,1,9,2,Beginner,Highly-consistent,Passive-learner,Advanced Beginner
89,7,191,7,Advanced,partially-consistent,High-potential,Advanced
54,4,19,4,Vibe-Coder,partially-consistent,Struggling,Intermediate
30,5,15,4,Intermediate,partially-consistent,Struggling,Intermediate
2,1,0,0,Vibe-Coder,Inconsistent,Struggling,Beginner
64,5,37,5,Beginner,Highly-consistent,Active-learner,Intermediate
92,8,198,8,Expert,Highly-consistent,Active-learner,Expert
38,1,8,3,Beginner,Inconsistent,Struggling,Advanced Beginner
22,1,5,3,Beginner,partially-consistent,Struggling,Advanced Beginner
66,4,12,4,Intermediate,partially-consistent,Active-learner,Intermediate
80,7,193,7,Advanced,Highly-consistent,Active-learner,Advanced
97,9,250,9,Advanced,Highly-consistent,Active-learner,Expert
52,5,18,5,Vibe-Coder,Highly-consistent,Struggling,Intermediate
